Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,Car_ID,Brand,Car_Age,Price_Per_Km,Mileage_kmkg,Mileage_kmpl,Fuel_Efficiency,Engine_In_CC,Car_Type,Power_In_BHP
Maruti Wagon R Lxi Cng,Mumbai,2010,72000,CNG,Manual,First,5,,1.75,4UPC,Maruti,15,2.43e-05,26.6,,high,998.0,Hatchback,58.16
Hyundai Creta 1.6 Crdi Sx Option,Pune,2015,41000,Diesel,Manual,First,5,,12.5,I0QU,Hyundai,10,0.0003049,,19.67,high,1582.0,Sedan,126.2
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,5,8.61 Lakh,4.5,PGOP,Honda,14,9.78e-05,,18.2,high,1199.0,Hatchback,88.7
Maruti Ertiga Vdi,Chennai,2012,87000,Diesel,Manual,First,7,,6.0,XTNK,Maruti,13,6.9e-05,,20.77,high,1248.0,Sedan,88.76
Audi A4 New 2.0 Tdi Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,5,,17.74,5XF2,Audi,12,0.0004362,,15.2,high,1968.0,SUV,140.8
Hyundai Eon Lpg Era Plus Option,Hyderabad,2012,75000,LPG,Manual,First,5,,2.35,K925,Hyundai,13,3.13e-05,21.1,,medium,814.0,Hatchback,55.2
Nissan Micra Diesel Xv,Jaipur,2013,86999,Diesel,Manual,First,5,,3.5,59HX,Nissan,12,4.02e-05,,23.08,high,1461.0,Sedan,63.1
Toyota Innova Crysta 2.8 Gx At 8S,Mumbai,2016,36000,Diesel,Automatic,First,8,21 Lakh,17.5,Q1W0,Toyota,9,0.0004861,,11.36,medium,2755.0,Luxury Car,171.5
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,5,,5.2,WD6G,Volkswagen,12,8.07e-05,,20.54,high,1598.0,Sedan,103.6
Tata Indica Vista Quadrajet Ls,Chennai,2012,65932,Diesel,Manual,Second,5,,1.95,HVGP,Tata,13,2.96e-05,,22.3,high,1248.0,Sedan,74.0
Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,5,10.65 Lakh,9.95,DB7D,Maruti,7,0.0003873,,21.56,high,1462.0,Sedan,103.25
Honda City 1.5 V At Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,5,,4.49,XI1W,Honda,13,7.48e-05,,16.8,high,1497.0,Sedan,116.3
Maruti Swift Vdi Bsiv,Jaipur,2015,64424,Diesel,Manual,First,5,,5.6,N8EX,Maruti,10,8.69e-05,,25.2,high,1248.0,Sedan,74.0
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,5,,27.0,GDDN,Land Rover,11,0.000375,,12.7,medium,2179.0,SUV,187.7
Land Rover Freelander 2 Td4 Se,Pune,2012,85000,Diesel,Automatic,Second,5,,17.5,63C3,Land Rover,13,0.0002059,,18.113183297180043,high,2179.0,SUV,115.0
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,7,32.01 Lakh,15.0,G2YV,Mitsubishi,11,0.0001364,,13.5,medium,2477.0,SUV,175.56
Honda Amaze S I-Dtech,Kochi,2016,58950,Diesel,Manual,First,5,,5.4,M8HQ,Honda,9,9.16e-05,,25.8,high,1498.0,Sedan,98.6
Maruti Swift Ddis Vdi,Jaipur,2017,25000,Diesel,Manual,First,5,,5.99,412O,Maruti,8,0.0002396,,28.4,high,1248.0,Sedan,74.0
Renault Duster 85Ps Diesel Rxl Plus,Kochi,2014,77469,Diesel,Manual,First,5,,6.34,4RXE,Renault,11,8.18e-05,,20.45,high,1461.0,Sedan,83.8
Mercedes-Benz New C-Class C 220 Cdi Be Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,5,,28.0,0G3I,Mercedes-Benz,11,0.0003567,,14.84,medium,2143.0,SUV,167.62
Bmw 3 Series 320D,Kochi,2014,32982,Diesel,Automatic,First,5,47.87 Lakh,18.55,PJ5L,Bmw,11,0.0005624,,22.69,high,1995.0,SUV,190.0
Maruti S Cross Ddis 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,5,,8.25,O572,Maruti,10,0.0001489,,23.65,high,1248.0,Sedan,88.5
Audi A6 2011-2015 35 Tfsi Technology,Mumbai,2015,55985,Petrol,Automatic,First,5,,23.5,CPAF,Audi,10,0.0004198,,13.53,medium,1984.0,SUV,177.01
Hyundai I20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,5,,1.87,81GP,Hyundai,15,4.08e-05,,18.5,high,1197.0,Hatchback,80.0
Volkswagen Vento Petrol Highline At,Kolkata,2010,33000,Petrol,Automatic,First,5,,2.85,OSKH,Volkswagen,15,8.64e-05,,14.4,medium,1598.0,Sedan,103.6
Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,5,,4.25,ZQP5,Honda,13,8.19e-05,,16.8,high,1497.0,Sedan,116.3
Nissan Micra Diesel Xv,Hyderabad,2012,54000,Diesel,Manual,First,5,,4.25,INMM,Nissan,13,7.87e-05,,23.08,high,1461.0,Sedan,63.1
Maruti Alto K10 2010-2014 Vxi,Hyderabad,2013,54000,Petrol,Manual,Second,5,,2.75,VRJM,Maruti,12,5.09e-05,,20.92,high,998.0,Hatchback,67.1
Honda Wrv I-Vtec Vx,Kochi,2018,37430,Petrol,Manual,First,5,10.57 Lakh,9.9,NMYT,Honda,7,0.0002645,,17.5,high,1199.0,Hatchback,88.7
Toyota Innova 2.5 V Diesel 7-Seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,7,,4.0,AGZ7,Toyota,18,1.53e-05,,12.8,medium,2494.0,SUV,102.0
Renault Duster 110Ps Diesel Rxz Pack,Bangalore,2013,62000,Diesel,Manual,First,5,,7.75,IFDT,Renault,12,0.000125,,19.01,high,1461.0,Sedan,108.45
Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,5,,6.75,GJY0,Toyota,13,7.7e-05,,14.53,medium,1798.0,SUV,138.1
